,index,0
127,"['국제유가', '공급과잉', '우려', '속', '약세…WTI', '0.7%↓']",8
128,"['2일', '국제유가', '하락']",8
129,"['그래픽', '유', '추이']",8
130,"['연합뉴스', '시각', '헤드라인', '20', '00']",8
131,"['국제유가', '브렌트유', '상승', '두바이유', '하락']",8
132,"['전문', '통화정책방향']",8
133,"['[이데일리ON]', '퀸스탁', '구미영', '투자전략']",8
134,"['한국조선해양,', '미얀마', '가스전', '해양플랜트', '수주', '성공']",8
135,"['1부', '오늘', '주요뉴스']",8
136,"['국제유가', '코', '재확산', '이틀연속', '급락…WTI', '3.3%↓']",8
137,"['오늘', '주요뉴스']",8
138,"['6월', '생산자물', '0.5', '올라…5개월만', '상승']",8
139,"['(월)', '모닝730', '이어서+조간브리핑']",7
140,"['이주열', '한국은행', '총재']",7
141,"['투데이', '잇(it)슈]', '시장', '특징주']",7
142,"['국제유가', '보합권', '등락…WTI', '0.2%↓']",7
143,"['1보', '국제유가', '상승…WTI', '1.1%↑']",7
144,"['석유시설', '피습', '국제유가', '7년', '만', '최고치']",7
145,"['한국', '물가상승률', '50여개국', '평균', '1.2']",7
146,"['오전장전망', '오전장', '대비']",7
147,"['주유소', '휘발윳값', '13주', '연속', '하락세', '마치', '1.4원']",7
148,"['뉴욕증시', '기술주', '반등', '상승', '출발']",7
149,"['국제유가', '사흘만', '소폭', '상승…WTI', '0.', '03%↑']",7
150,"['21일', '국제유가', '상승']",7
151,"['오늘', '외환딜러', '환율', '예상레인지']",7
152,"['국제유가', '급락', '하루만', '반등…WTI', '2.7%↑']",7
153,"['국제유가', '회의', '주시…WTI', '0.5%↑']",7
154,"['11일', '국제유가', '상승']",7
155,"['[뉴스핌', '뉴스레터', '글로벌', '모닝뉴스', '3일']",7
156,"['뉴욕증시', '기업', '실적', '혼조', '출발']",7
157,"['국제유가', ""'사우디-러시아"", '신경전', '급락', '반전…WTI', '8%↓']",7
158,"['뉴욕증시', '무역전쟁', '우려', '지속', '하락', '출발']",7
159,"['3일', '국제유가', '하락']",7
160,"['뉴욕증시', '미·중', '무역협상', '전', '기대', '상승', '출발']",7
161,"['1보', '국제유가', '상승…WTI', '1%↑']",7
162,"['휘발유', '가격', '9주', '하락…국제유', '폭락', '여파', '격', '반영']",7
163,"['국제유가', '4월', '마지막날', '급등…WTI', '25%↑']",7
164,"['뉴욕증시', '마감', '현황']",7
165,"['한국조선해양,', '선박', '10척', '8230억원', '수주']",7
166,"['12일', '국제유가', '하락']",7
167,"['17일', '국제유가', '하락']",7
168,"['한국조선해양,', '원유운반선', '2척', '1530억원', '수주']",7
169,"['북도', '도시가스', '소비자요금', '평균', '12.2', '인하']",7
170,"['8월', '수출물가', '0.2', '내려…4개월', '만', '하락']",6
171,"['국제유가', '재고증가·달러', '강세', '소폭', '하락']",6
172,"['뉴욕증시', '미·중', '무역협상', '기대', '지속', '상승', '출발']",6
173,"['오늘', '글로벌', '주요', '뉴스', '월']",6
174,"['1일', '국제', '유', '하락']",6
175,"['국제유가', '관망심리', '속', '혼조']",6
176,"['미생물', '기반', '다양한', '일차', '아민', '생산', '기술', '최초', '개발']",6
177,"['국제유가', '중동', '위', '사흘째', '강세…WTI', '1.4%↑']",6
178,"['국제유가', '4일', '두바이유', '등', '국제유가', '상승']",6
179,"['국제유가', '공급', '과잉', '우려', '하락…WTI', '1.', '26%↓']",6
180,"['국제유가', '사흘째', '강세…WTI', '0.6%↑']",6
181,"['국제유가', '수요', '불확실성', '속', '하락…WTI', '1.1%↓']",6
182,"['[뉴스핌', '뉴스레터', '글로벌', '모닝뉴스', '30일']",6
183,"['뉴욕증시', '결과', '주시', '강보합', '출발']",6
184,"['국제유가', '소폭', '상승…WTI', '0.7%↑']",6
185,"['주간추천종목', '유안타증권']",6
186,"['[뉴스핌', '뉴스레터', '글로벌', '모닝뉴스', '23일']",6
187,"['오전', '주요', '국제금융뉴스', '1일']",6
188,"['[뉴스핌', '뉴스레터', '글로벌', '모닝뉴스', '5일']",6
189,"['국제유가', '3일', '두바이유', '등', '유', '상승']",6
190,"['대비', '개장', '전', '투자전략']",6
191,"['국제유가', '3월', '이후', '최고치…WTI', '2.6', '상승']",6
192,"['유', '하락', '생산자물', '8개월', '만', '내']",6
193,"['8일', '국제유가', '상승']",6
194,"['1보', '국제유가', '상승…WTI', '0.2%↑']",6
195,"['11일', '국제', '유', '상승']",6
196,"['6일', '국제', '유', '상승']",6
197,"['최원철', '부동산', '경제', '뉴스']",6
198,"['뉴욕증시', '은행', '실적', '호조', '상승', '출발']",6
199,"['1보', '국제유가', '상승…WTI', '0.4%↑']",6
